Step,Molecular_DeepEnsemble_Fluorescence_Oscillator_Strength_vbll_20250511_205913 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250511_180255 - best_value,BLOB_EnsembleMolecular_BLOB_Fluorescence_Oscillator_Strength_20250510_150000 - best_value,Molecular_VBLL_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250510_144157 - best_value,Molecular_BLOB_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250509_161822 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250510_150511 - best_value,Molecular_Laplace_BO_Fluorescence_Oscillator_Strength_20250509_153216 - best_value,Molecular_BLOB_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250508_191313 - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,Molecular_DeepEnsemble_Fluorescence_Oscillator_Strength_vbll_20250513_083430 - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,ibnn-Fluorescence_Oscillator_Strength - best_value,dkl-Fluorescence_Oscillator_Strength - best_value,gp-Fluorescence_Oscillator_Strength - best_value,Fluorescence_Oscillator_Strength_mlp_20250513_164104 - best_value,Fluorescence_Oscillator_Strength_mlp_20250513_163615 - best_value,Molecular_VBLL_Fluorescence_Oscillator_Strength_dense_precision_multirank_20250512_234400 - best_value
0,-0.67025843,-0.030499053,-0.182486423,-0.08258005,-0.737913581,-0.014840543,-1.763827553,-1.171298977,-1.396924337,-1.396924337,-1.396924337,-2.576275157,-1.396924337,-1.396924337,-1.396924337,-1.396924337,-1.396924337,-1.396924337,-0.059072473,-2.576275157,-0.019300344
1,-2.547118305,-0.17635317,,-0.08258005,-2.643354126,-0.056611338,-1.763827553,-1.171298977,-1.396924337,-1.396924337,-1.396924337,-2.774342458,-1.396924337,-1.396924337,-1.396924337,-1.396924337,-1.396924337,-1.396924337,-0.246608971,-2.576275157,-3.249770423
2,-2.547118305,-0.17635317,-0.182486423,-0.08258005,-2.643354126,-0.069525178,-1.763827553,-1.171298977,-1.396924337,-1.396924337,-1.396924337,-2.774342458,-1.396924337,-1.396924337,-1.396924337,-1.396924337,-1.396924337,-1.396924337,-0.246608971,-2.576275157,-3.319110924
3,-2.547118305,-1.044520022,,-0.08258005,-2.643354126,-0.343914101,-1.763827553,-2.762399549,-1.591561337,-2.006870797,-1.396924337,-2.774342458,-1.591561337,-2.006870797,-1.396924337,-1.591561337,-2.006870797,-1.396924337,-0.246608971,-2.819379209,-4.017986295
4,-2.547118305,-1.044520022,-0.182486423,-0.08258005,-2.643354126,-0.765490351,-1.763827553,-2.762399549,-1.591561337,-2.006870797,-1.928198272,-2.774342458,-1.591561337,-2.006870797,-1.928198272,-1.591561337,-2.006870797,-1.928198272,-0.246608971,-2.819379209,-4.017986295
5,-2.547118305,-1.044520022,-0.182486423,-2.939969402,-2.643354126,-0.765490351,-1.763827553,-2.762399549,-1.591561337,-2.006870797,-1.928198272,-2.774342458,-1.591561337,-2.006870797,-1.928198272,-1.591561337,-2.006870797,-1.928198272,-0.920857117,-2.819379209,-4.017986295
6,-2.547118305,-1.773396411,-0.182486423,-2.939969402,-2.643354126,-0.765490351,-1.763827553,-2.762399549,-1.591561337,-2.006870797,-1.928198272,-2.774342458,-1.591561337,-2.006870797,-1.928198272,-1.591561337,-2.006870797,-1.928198272,-0.920857117,-2.819379209,-4.017986295
7,-2.547118305,-1.773396411,-0.182486423,-2.939969402,-2.643354126,-0.765490351,-1.763827553,-2.762399549,-1.591561337,-2.006870797,-1.928198272,-3.067614655,-1.591561337,-2.006870797,-1.928198272,-1.591561337,-2.006870797,-1.928198272,-0.920857117,-2.819379209,-4.017986295
8,-2.547118305,-1.773396411,-0.182486423,-2.939969402,-2.643354126,-0.765490351,-1.763827553,-2.762399549,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-2.856248061,-4.017986295
9,-2.547118305,-1.773396411,-0.182486423,-2.939969402,-2.643354126,-0.765490351,-1.763827553,-2.762399549,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-2.856248061,-4.017986295
10,-2.593916836,-1.773396411,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-2.762399549,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-2.856248061,-4.017986295
11,-2.593916836,-1.773396411,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-2.762399549,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-2.856248061,-4.017986295
12,-2.593916836,-1.773396411,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-2.828841562,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-2.856248061,-4.017986295
13,-2.996150326,-2.282729513,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-2.828841562,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-2.856248061,-4.017986295
14,-3.309094763,-2.282729513,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-2.856248061,-4.017986295
15,-3.309094763,-2.282729513,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-3.756197898,-4.017986295
16,-3.309094763,-2.282729513,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-3.756197898,-4.017986295
17,-3.309094763,-2.282729513,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.920857117,-3.756197898,-4.017986295
18,-3.309094763,-2.282729513,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.027667701,-3.067614655,-1.591561337,-2.006870797,-3.027667701,-1.591561337,-2.006870797,-3.027667701,-0.929585628,-3.756197898,-4.017986295
19,-3.309094763,-2.282729513,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.360618324,-3.067614655,-1.591561337,-2.006870797,-3.360618324,-1.591561337,-2.006870797,-3.360618324,-0.929585628,-3.756197898,-4.017986295
20,-3.309094763,-2.282729513,-0.182486423,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.360618324,-3.067614655,-1.591561337,-2.006870797,-3.360618324,-1.591561337,-2.006870797,-3.360618324,-0.929585628,-3.756197898,-4.017986295
21,-3.309094763,-2.282729513,-2.753679535,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.360618324,-3.067614655,-1.591561337,-2.006870797,-3.360618324,-1.591561337,-2.006870797,-3.360618324,-0.929585628,-3.756197898,-4.017986295
22,-3.309094763,-2.282729513,-2.753679535,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.360618324,-3.067614655,-1.591561337,-2.006870797,-3.360618324,-1.591561337,-2.006870797,-3.360618324,-0.929585628,-3.756197898,-4.017986295
23,-3.309094763,-2.282729513,-2.753679535,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.006870797,-3.360618324,-3.067614655,-1.591561337,-2.006870797,-3.360618324,-1.591561337,-2.006870797,-3.360618324,-3.082579144,-3.756197898,-4.017986295
24,-3.309094763,-2.282729513,-2.753679535,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.592014611,-3.360618324,-3.067614655,-1.591561337,-2.592014611,-3.360618324,-1.591561337,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
25,-3.309094763,-2.282729513,-2.753679535,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.592014611,-3.360618324,-3.067614655,-1.591561337,-2.592014611,-3.360618324,-1.591561337,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
26,-3.309094763,-2.282729513,-2.753679535,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.592014611,-3.360618324,-3.067614655,-1.591561337,-2.592014611,-3.360618324,-1.591561337,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
27,-3.309094763,-2.282729513,-2.753679535,-2.939969402,-3.009952967,-1.732182978,-1.763827553,-3.136588344,-1.591561337,-2.592014611,-3.360618324,-3.067614655,-1.591561337,-2.592014611,-3.360618324,-1.591561337,-2.592014611,-3.360618324,-3.082579144,-3.756197898,-4.017986295
