Step,BLOB_EnsembleMolecular_BLOB_Gsol_20250512_041334 - best_value,Molecular_Laplace_BO_Gsol_20250511_180607 - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_145035 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_VBLL_Gsol_dense_precision_multirank_20250510_040825 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_163244 - best_value,ibnn-Gsol - best_value,dkl-Gsol - best_value,gp-Gsol - best_value,Molecular_Laplace_BO_Gsol_20250509_153306 - best_value,Molecular_BLOB_Gsol_dense_precision_multirank_20250508_183330 - best_value
0,-0.92971128,-0.65265906,-1.15683315,-1.07177469,-1.11386856,-1.07177469,-1.0715298,-1.07177469,-1.11386856,-1.07177469,-0.77061441,-1.07177469,-1.11386856,-1.07177469,-0.86389029,-0.61791189
1,,-0.67597803,-1.15683315,-1.07177469,-1.11386856,-1.07177469,-1.0715298,-1.07177469,-1.11386856,-1.07177469,-0.92971128,-1.07177469,-1.11386856,-1.07177469,-0.86389029,-0.73622097
2,-0.92971128,-0.72201735,-1.15683315,-1.07177469,-1.11386856,-1.07177469,-1.07542083,-1.07177469,-1.11386856,-1.07177469,-0.92971128,-1.07177469,-1.11386856,-1.07177469,-0.86389029,-0.83730612
3,,-0.77159397,-1.15683315,-1.07177469,-1.11386856,-1.07177469,-1.07542083,-1.07177469,-1.11386856,-1.07177469,-0.92971128,-1.07177469,-1.11386856,-1.07177469,-0.86389029,-0.83730612
4,-0.92971128,-0.77159397,-1.15683315,-1.11386856,-1.11386856,-1.07177469,-1.07542083,-1.11386856,-1.11386856,-1.07177469,-0.92971128,-1.11386856,-1.11386856,-1.07177469,-0.92971128,-0.83730612
5,,-0.79104912,-1.15683315,-1.12007244,-1.11386856,-1.07177469,-1.07542083,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-0.83730612
6,-0.92971128,-0.83434023,-1.15683315,-1.12007244,-1.11386856,-1.07177469,-1.09188288,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-0.83730612
7,,-0.83434023,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.09188288,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.11596373
8,-0.92971128,-0.83434023,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.15683315,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.11596373
9,,-0.83434023,-1.18847838,-1.12007244,-1.11386856,-1.07177469,-1.15683315,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.12007244,-1.11386856,-1.07177469,-0.92971128,-1.11596373
