Step,Molecular_Laplace_BO_Ered_20250507_212946 - best_value,ibnn-Ered - best_value,dkl-Ered - best_value,gp-Ered - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_014507 - best_value,BLOB_EnsembleMolecular_BLOB_Ered_20250508_015139 - best_y,ibnn-Ered - best_value,dkl-Ered - best_value,gp-Ered - best_value,BLOB_EnsembleMolecular_BLOB_Ered_20250508_122413 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250507_210912 - best_value,ibnn-Ered - best_value,dkl-Ered - best_value,gp-Ered - best_value,Ered_mlp_20250509_121337 - best_value,Molecular_BLOB_Ered_dense_precision_multirank_20250508_155447 - best_value,Ered_mlp_20250509_120819 - best_value,Ered_mlp_20250509_121337 - best_value,BLOB_EnsembleMolecular_BLOB_Ered_20250509_121918 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250513_121341 - best_value,Molecular_VBLL_Ered_dense_precision_multirank_20250513_082526 - best_value,Molecular_DeepEnsemble_Ered_std_20250512_172658 - best_value,Molecular_DeepEnsemble_Ered_std_20250512_132555 - best_value,Molecular_DeepEnsemble_Ered_vbll_20250511_182942 - best_value
0,3.01216112,1.87924556,1.87924556,1.87924556,1.86569498,2.14778105,1.87924556,1.87924556,1.87924556,2.07376985,1.77609245,1.87924556,1.87924556,1.87924556,1.70814908,1.63933499,1.70814908,1.70814908,2.65867601,2.38426316,2.17259657,1.66627289,1.76175278,2.04269603
1,1.93113503,1.87924556,1.87924556,1.87924556,1.86569498,2.00177219,1.87924556,1.87924556,1.87924556,,1.77609245,1.87924556,1.87924556,1.87924556,1.66627289,1.63933499,1.66627289,1.66627289,2.65867601,2.36459033,2.10204104,1.66627289,1.76175278,2.04269603
2,1.93113503,1.87924556,1.87924556,1.62464159,1.83562793,2.00177219,1.87924556,1.87924556,1.62464159,1.61558066,1.77609245,1.87924556,1.87924556,1.62464159,1.66627289,1.63933499,1.66627289,1.66627289,2.53329233,1.97219492,2.10204104,1.66627289,1.76175278,1.95393701
3,1.93113503,1.87924556,1.87924556,1.62464159,1.83562793,2.00177219,1.87924556,1.87924556,1.62464159,,1.77609245,1.87924556,1.87924556,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,2.35381517,1.6706537,1.92566582,1.66627289,1.6706537,1.95393701
4,1.93113503,1.87924556,1.83100223,1.62464159,1.64455931,1.6807214,1.87924556,1.83100223,1.62464159,1.61558066,1.77609245,1.87924556,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,2.04979784,1.6706537,1.92566582,1.66627289,1.6706537,1.95393701
5,1.93113503,1.87924556,1.83100223,1.62464159,1.64455931,1.6807214,1.87924556,1.83100223,1.62464159,,1.76376632,1.87924556,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,2.046968,1.6706537,1.92566582,1.64039618,1.6706537,1.64039618
6,1.93113503,1.87924556,1.83100223,1.62464159,1.64455931,1.6807214,1.87924556,1.83100223,1.62464159,1.61558066,1.76376632,1.87924556,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.92566582,1.64039618,1.6706537,1.64039618
7,1.93113503,1.87924556,1.83100223,1.62464159,1.64455931,1.6807214,1.87924556,1.83100223,1.62464159,,1.7316041,1.87924556,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.69620389,1.63933499,1.6706537,1.64039618
8,1.93113503,1.87924556,1.83100223,1.62464159,1.64455931,1.67353796,1.87924556,1.83100223,1.62464159,1.61558066,1.6807214,1.87924556,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.69620389,1.63933499,1.6706537,1.64039618
9,1.93113503,1.87924556,1.83100223,1.62464159,1.64039618,1.67353796,1.87924556,1.83100223,1.62464159,,1.6807214,1.87924556,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.69620389,1.63933499,1.6706537,1.64039618
10,1.93113503,1.87924556,1.83100223,1.62464159,1.64039618,1.67353796,1.87924556,1.83100223,1.62464159,1.61558066,1.62464159,1.87924556,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.54135178,1.63933499,1.6706537,1.64039618
11,1.93113503,1.68412265,1.83100223,1.62464159,1.64039618,1.67353796,1.68412265,1.83100223,1.62464159,,1.62464159,1.68412265,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.54135178,1.63933499,1.66725245,1.64039618
12,1.93113503,1.68412265,1.83100223,1.62464159,1.64039618,1.67353796,1.68412265,1.83100223,1.62464159,1.61558066,1.62464159,1.68412265,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.54135178,1.63933499,1.66725245,1.64039618
13,1.93113503,1.68412265,1.83100223,1.62464159,1.64039618,1.67353796,1.68412265,1.83100223,1.62464159,,1.62464159,1.68412265,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.54135178,1.63933499,1.66725245,1.64039618
14,1.6706537,1.68412265,1.83100223,1.62464159,1.64039618,1.67353796,1.68412265,1.83100223,1.62464159,1.61558066,1.62464159,1.68412265,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.54135178,1.63933499,1.66725245,1.64039618
15,1.6706537,1.68412265,1.83100223,1.62464159,1.64039618,1.67353796,1.68412265,1.83100223,1.62464159,,1.62464159,1.68412265,1.83100223,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.54135178,1.63933499,1.65087203,1.64039618
16,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.67353796,1.68412265,1.74564446,1.62464159,1.61558066,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.54135178,1.63933499,1.65087203,1.64039618
17,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.67353796,1.68412265,1.74564446,1.62464159,,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.82996825,1.6706537,1.54135178,1.61558066,1.65087203,1.64039618
18,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.67353796,1.68412265,1.74564446,1.62464159,1.61558066,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.72591721,1.6706537,1.54135178,1.61558066,1.54135178,1.64039618
19,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.67353796,1.68412265,1.74564446,1.62464159,,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.6706537,1.54135178,1.61558066,1.54135178,1.64039618
20,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.67353796,1.68412265,1.74564446,1.62464159,1.61558066,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
21,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.64967479,1.68412265,1.74564446,1.62464159,,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
22,1.6706537,1.68412265,1.74564446,1.62464159,1.64039618,1.64967479,1.68412265,1.74564446,1.62464159,1.61558066,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
23,1.6706537,1.68412265,1.74564446,1.62464159,1.63933499,1.64967479,1.68412265,1.74564446,1.62464159,,1.62464159,1.68412265,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
24,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.62464159,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.69620389,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
25,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.62464159,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
26,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.62464159,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
27,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
28,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.63933499,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
29,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.62464159,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
30,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.62464159,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
31,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
32,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
33,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
34,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.61558066,1.54135178,1.64039618
35,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
36,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
37,1.6706537,1.67353796,1.74564446,1.62464159,1.63933499,1.64967479,1.67353796,1.74564446,1.62464159,,1.54135178,1.67353796,1.74564446,1.62464159,1.61558066,1.54135178,1.61558066,1.61558066,1.61558066,1.62464159,1.54135178,1.54135178,1.54135178,1.64039618
